rank,momentum,artist,title,genre,points,days,label,released,bpm,key,length
42,0,BONAFIQUE,Monologue,INDIE DANCE,6953,154,GET PHYSICAL MUSIC,2025-09-10,125,8A - A Minor,4:48
43,36,ESSE (US),Make My Day,TECH HOUSE,6933,89,ESSENTIAL.,2026-01-30,130,8B - C Major,4:16
44,55,"REINIER ZONNEVELD, GORDO",Loco Loco,DANCE / POP,6814,80,SPINNIN' RECORDS,2026-02-13,127,10A - B Minor,4:47
45,0,"VINTAGE CULTURE, GABSS",Lost,MELODIC HOUSE & TECHNO,6804,76,AFFAIRS,2025-12-19,128,6A - G Minor,6:46
46,35,JOSHWA,Out of My Mind,TECH HOUSE,6644,87,HELLBENT RECORDS,2026-02-06,132,11B - A Major,5:15
47,0,SAMM (BE),Body Language,HOUSE,6636,90,ABRACADABRA MUSIC,2025-07-11,122,5A - C Minor,6:04
48,0,"ADAM PORT, STRYV, MALACHIII",Positions,AFRO HOUSE,6424,91,"STRYV, MALACHIII, ADAM PORT",2025-06-27,122,1A - G# Minor,4:11
49,0,"EMANUELE ESPOSITO, GIANNI ROMANO, HELEN TESFAZGHI, &FRIENDS",It's Not Right,AFRO HOUSE,6335,121,ULU RECORDS,2025-03-21,123,5A - C Minor,6:06
50,0,SCRIPT,WTF,TECH HOUSE,6324,106,TSZR,2025-08-01,130,4A - F Minor,4:56
51,0,"MK, CHRYSTAL",Dior,HOUSE,6297,95,COLUMBIA (SONY),2025-06-06,128,9A - E Minor,5:00
52,0,MESTO,Caramelle,MAINSTAGE,6272,85,STMPD RCRDS,2025-11-28,128,5B - D# Major,3:11
53,0,"MR. BELT & WEZOL, RUZE",Ain't Nobody,HOUSE,6183,92,THE CUCKOO'S NEST,2025-09-12,128,2A - D# Minor,4:53
54,0,DISCIP,Pull Up,TECH HOUSE,6110,80,EXPERTS ONLY,2025-12-05,129,2B - F# Major,4:57
55,0,L.P. RHYTHM,Versatile,HOUSE,6022,89,DISORDER,2025-07-11,131,10B - D Major,5:53
56,0,"TIESTO, ODD MOB, GOODBOYS",Won't Be Possible,DANCE / POP,5971,91,ATLANTIC RECORDS,2025-05-09,130,2A - D# Minor,3:13
57,165,"ANOTR, 54 ULTRA",Talk To You,HOUSE,5840,59,NO ART,2026-03-06,132,6A - G Minor,5:06
58,0,"THREE DRIVES, THREE DRIVES ON A VINYL, MAX STYLER",Greece 2000,TRANCE (MAIN FLOOR),5772,80,ARMADA MUSIC,2026-01-09,129,4B - G# Major,5:27
59,0,"MARSHALL JEFFERSON, MAESIC, SALOMé DAS",Life Is Simple (Move Your Body),AFRO HOUSE,5753,95,HELIX RECORDS,2025-03-07,121,2A - D# Minor,5:14
60,0,ALAIA & GALLO,Lipstick,TECH HOUSE,5696,114,TOOLROOM,2025-06-27,128,7A - D Minor,5:38
61,0,"ODD MOB, OMNOM, HYPERBEAM",Coming Up (It's Dare),DANCE / POP,5682,84,QUEENSROADMUSIC/ATLANTIC,2025-11-14,134,6A - G Minor,4:05
62,0,MPH,Raw,UK GARAGE / BASSLINE,5645,130,BLACK BOOK RECORDS,2025-06-20,132,4A - F Minor,3:59
63,0,"CALVIN HARRIS, D.O.D",Sweet Nothing,DANCE / POP,5635,86,SONY MUSIC CG,2025-08-22,130,1A - G# Minor,4:12
64,0,"HECTOR COUTO, ALEJANDRO PAZ",El House,HOUSE,5486,89,CECILLE,2025-05-09,130,7A - D Minor,5:11
65,0,EMANUEL SATIE,Give It All,HOUSE,5473,85,DEFECTED,2025-11-21,127,7A - D Minor,4:44
66,1,"ODD MOB, OMNOM, HYPERBEAM",System,TECH HOUSE,5387,78,INSOMNIAC RECORDS,2025-09-05,130,12B - E Major,4:11
67,1,"MOBY, BLOND:ISH, KIKO FRANCO",Natural Blues,HOUSE,5359,73,DEFECTED,2025-05-30,126,6B - A# Major,5:23
68,28,"MILKY, MALL GRAB",Just The Way You Are,HOUSE,5358,86,COLUMBIA (SONY),2026-01-30,138,5B - D# Major,4:14
69,0,"SONNY FODERA, D.O.D, POPPY BASKCOMB",Think About Us,DANCE / POP,5322,119,SOLOTOKO,2025-10-17,128,3A - A# Minor,4:45
70,0,TINI GESSLER,For The Soul,TECH HOUSE,5305,92,TRACE AMOUNTS,2025-11-21,130,3A - A# Minor,5:18
71,0,SOSA (UK),Be Without You,TECH HOUSE,5289,83,INSOMNIAC RECORDS,2025-11-07,132,12A - C# Minor,4:52
72,1,"KASKADE, CID, ANABEL ENGLUND",Vision Blurred,TECH HOUSE,5181,69,EXPERTS ONLY,2026-01-23,128,12B - E Major,5:39
73,0,QULIANO,NYC,TECH HOUSE,5149,88,INTENTIONS RECORDS,2025-02-07,129,9A - E Minor,5:49
74,0,"CHRIS LAKE, SKRILLEX, ANITA B QUEEN",LA NOCHE,BASS HOUSE,5116,86,BLACK BOOK RECORDS,2025-10-03,127,4B - G# Major,4:17
75,0,"SHIMZA, KASANGO, AR/CO",Fire Fire,AFRO HOUSE,5103,115,HELIX RECORDS,2025-06-13,125,6A - G Minor,4:37
76,0,MAU P,TESLA,TECH HOUSE,5070,82,INSOMNIAC RECORDS,2025-08-08,132,7B - F Major,5:47
77,0,JORDAN PEAK,Front 2 Back,HOUSE,5069,76,DEFECTED,2025-07-11,131,2A - D# Minor,5:22
78,100,"RIORDAN, SILVA BUMPA",Lifting,UK GARAGE / BASSLINE,5015,66,ROOM TWO RECORDINGS,2026-02-27,133,2A - D# Minor,5:48
79,1,"RIORDAN, A+",Party Out,TECH HOUSE,4875,61,CASABLANCA NEW/REPUBLIC RECORDS,2025-12-05,132,5A - C Minor,4:53
80,2,"WESTEND, SIDEPIECE",Take Your Places,BASS HOUSE,4822,72,LIP SERVICE,2025-12-05,130,10B - D Major,4:26
81,2,"JOSH BAKER, PAIGE CAVELL, SILVA BUMPA",Feel This Way,HOUSE,4745,63,BAKER'S DOZEN,2026-01-16,133,1A - G# Minor,4:16
82,4,BRITNEY SPEARS,I Wanna Go (John Summit Extended Remix),DANCE / POP,4656,83,EXPERTS ONLY,2025-10-17,138,7A - D Minor,4:20
83,4,"DELERIUM, SARAH MCLACHLAN, JOHN SUMMIT",Silence feat. Sarah McLachlan,DANCE / POP,4646,79,EXPERTS ONLY,2025-05-14,133,8A - A Minor,5:28
84,4,CALVIN HARRIS,I'm Not Alone,UK GARAGE / BASSLINE,4634,94,COLUMBIA (SONY),2025-08-08,135,2A - D# Minor,4:01
85,4,"TIGA, MEDUZA",You Gonna Want Me (I Know),MELODIC HOUSE & TECHNO,4594,81,ARMADA MUSIC,2025-11-14,128,6B - A# Major,5:21
86,4,HATIRAS,Hypnotized,TECH HOUSE,4571,88,TOOLROOM,2025-07-04,127,7B - F Major,5:33
87,4,BRADEAZY,Up Down,BASS HOUSE,4538,112,BOOM RECORDS LLC,2025-09-05,130,2A - D# Minor,4:41
88,0,MAX STYLER,I Know You Want To,TECH HOUSE,4533,94,INSOMNIAC RECORDS,2025-03-14,129,9B - G Major,4:43
89,245,"CHRIS LORENZO, KAH-LO",In This Bih',TECH HOUSE,4508,52,TURBO BLANCO,2026-03-13,130,2B - F# Major,4:26
90,3,"MELOKO, KONVEX (FR), GARLA",If U Ever,MELODIC HOUSE & TECHNO,4441,76,MACCABI HOUSE,2025-08-29,124,12B - E Major,6:33
91,3,LAYTON GIORDANI,Hold It Down (DARE),TECH HOUSE,4437,63,MADMINDS,2025-11-12,127,6A - G Minor,5:02
92,163,BRUNELLO,Science Fiction,INDIE DANCE,4406,59,MELLOW CIRCUS RECORDS,2026-03-06,127,7A - D Minor,6:36
93,373,DEAN TURNLEY,Actin' Tough,HOUSE,4403,45,ROSSI.HOME//GRXWN.,2026-03-20,140,5A - C Minor,5:03
94,3,"MAX DEAN, LUKE DEAN",Gets Like That,HOUSE,4402,61,DX3N,2025-09-19,130,5B - D# Major,7:37
95,0,"PROSPA, RAHH",This Rhythm (feat. RAHH),HOUSE,4348,92,CIRCOLOCO RECORDS,2024-11-08,127,3A - A# Minor,4:18
96,377,FRANKY RIZARDO,Shinjuku,HOUSE,4322,45,LTF RECORDS,2026-03-20,129,1A - G# Minor,5:53
97,387,"JITWAM, GUDFELLA",Morning Coffee,INDIE DANCE,4321,45,THRIVE MUSIC,2026-03-20,128,5A - C Minor,5:00
98,2,"SMOKEY BUBBLIN' B, GUY BURNS, JAMES POOLE",Temptation,HOUSE,4284,55,DISORDER,2025-11-28,130,2A - D# Minor,6:01
99,2,KI/KI,What's a Girl to Do in '25 (Extended),TRANCE (MAIN FLOOR),4273,95,DISORDER,2025-09-12,146,3A - A# Minor,4:29
100,2,"MC DT, SILVA BUMPA",Doin' It feat. MC DT,UK GARAGE / BASSLINE,4272,114,ATW RECORDS,2025-08-15,138,1A - G# Minor,5:06
